mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_booster,param_base_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
6.261433553695679,0.44464834421916094,0.09767370223999024,0.03378965043162608,900,2,5,0.15,gblinear,0.5,"{'n_estimators': 900, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.15, 'booster': 'gblinear', 'base_score': 0.5}",-17637.843676423374,-21282.06421232877,-21706.501043450342,-19174.338198309077,-21049.56046660959,-20170.06151942423,1534.5557620849877,36,-17419.033300112373,-16315.980127622004,-16444.25233104131,-17094.370451626713,-15062.588338773545,-16467.244909835186,811.8691225410653
9.143545722961425,0.8758892943111057,0.07312250137329102,0.005663904759859634,1500,2,3,0.15,gbtree,0.25,"{'n_estimators': 1500, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.15, 'booster': 'gbtree', 'base_score': 0.25}",-15478.374130458047,-16626.35802386558,-16511.286386986303,-14810.409835188357,-16547.19951305651,-15994.72557791096,726.6697545677415,5,-597.0105716235017,-570.8747458261986,-634.4427540400256,-576.1016427654109,-598.2184590378853,-595.3296346586044,22.399840281437886
3.0516333103179933,0.028383184696228605,0.06170744895935058,0.004071109493433759,500,4,10,0.2,gblinear,0.25,"{'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 10, 'learning_rate': 0.2, 'booster': 'gblinear', 'base_score': 0.25}",-17557.762441138697,-21325.67436322774,-21809.691841020976,-19064.941352739726,-21001.688262521406,-20151.951652129712,1597.4472696683672,31,-17457.721967305224,-16373.890932684075,-16498.63330078125,-17160.779014273867,-15112.599993980095,-16520.7250418049,811.4797319717525
3.6414368629455565,0.05107867823237043,0.060787200927734375,0.003139462339018456,500,4,3,0.05,gblinear,0.5,"{'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 3, 'learning_rate': 0.05, 'booster': 'gblinear', 'base_score': 0.5}",-17202.245143942637,-21817.64893915882,-22445.835188356163,-18732.155219927226,-20944.509578339042,-20228.478813944777,1967.3284198141841,41,-17833.41168965379,-16738.592796848247,-16931.542995505137,-17576.095164677867,-15773.940275845462,-16970.716584506103,720.890508415778
44.35903792381286,11.452893963374848,0.1462766170501709,0.09356438027554828,900,1,15,0.1,gbtree,1.0,"{'n_estimators': 900, 'min_child_weight': 1, 'max_depth': 15, 'learning_rate': 0.1, 'booster': 'gbtree', 'base_score': 1}",-16498.53531678082,-17177.299242829624,-18814.705024614726,-14980.32500802654,-19447.126979880137,-17383.59831442637,1606.7255752674453,20,-7.172908417166096,-7.171212810359589,-0.06816540025684932,-7.184697399400685,-0.0713158176369863,-4.3336599689640405,3.481478820504385
4.939264440536499,0.9172990719946996,0.07508111000061035,0.010420007660130856,900,4,2,0.05,gbtree,0.25,"{'n_estimators': 900, 'min_child_weight': 4, 'max_depth': 2, 'learning_rate': 0.05, 'booster': 'gbtree', 'base_score': 0.25}",-14939.419600813357,-16932.779149721748,-16668.48117776113,-13291.021350599314,-17478.36399026113,-15862.013053831335,1540.8243400440058,2,-9203.649644825557,-9244.580054714255,-9194.359060627141,-9780.344030928938,-8936.860247886345,-9271.958607796447,276.4720740255538
12.733551263809204,2.265609323318281,0.19660711288452148,0.11519355988752626,900,2,3,0.2,gbtree,0.5,"{'n_estimators': 900, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.2, 'booster': 'gbtree', 'base_score': 0.5}",-15513.955439319348,-16683.093816887842,-16670.10787671233,-14114.195151969177,-17967.85562928082,-16189.841582833902,1296.1803588817347,10,-1028.4456134952911,-886.640029698202,-940.5418115903253,-991.7292580800514,-918.0689379548373,-953.0851301637415,50.93327204077438
6.409558486938477,1.5380884654084395,0.15031847953796387,0.08226551821384416,100,3,10,0.1,gbtree,0.25,"{'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.1, 'booster': 'gbtree', 'base_score': 0.25}",-15849.626177226028,-16628.892537992295,-18041.399628103594,-14742.292861729453,-17422.34853916952,-16536.91194884418,1161.8055741831877,13,-1265.9242996842893,-1243.029320285745,-1548.332984401755,-1402.928951733733,-1874.0587074593323,-1466.854852712971,231.08922181120477
14.509526538848878,2.2305325476941023,0.08482718467712402,0.013431777459714758,900,2,5,0.15,gblinear,0.75,"{'n_estimators': 900, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.15, 'booster': 'gblinear', 'base_score': 0.75}",-17637.844686429795,-21282.06066058433,-21706.503163794947,-19174.335790346748,-21049.560479987158,-20170.060956228594,1534.5556526222392,35,-17419.033370344605,-16315.98067275792,-16444.25473398705,-17094.37095830212,-15062.589337074593,-16467.245814493253,811.8688379180512
21.345177030563356,2.7579223364872494,0.11239938735961914,0.03290021852422945,500,3,15,0.15,gbtree,0.5,"{'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.15, 'booster': 'gbtree', 'base_score': 0.5}",-16134.203740368152,-16757.98310413099,-17948.974555864726,-14859.933954944348,-18432.04786494007,-16826.628644049655,1279.7721420718979,17,-7.134401086258562,-7.154564426369863,-0.13501979880136986,-7.150815362799658,-0.0536574272260274,-4.325691620291096,3.454987723272484
